interval_index,interval_start_time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,vlf,lf_hf_ratio,csi,cvi,Modified_csi,sampen,sd1,sd2,ratio_sd2_sd1
0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10000.0,772.0853365384615,46.612387030160114,44.35452796426944,3.0,25.0,4.0,33.333333333333336,44.588037165457614,789.0625,175.78125,0.05775014115066859,0.06037206617488728,78.00514750501068,93.0909090909091,73.14285714285714,5.07329819366874,,,,,,,,,,,
11.0,11000.0,766.3225446428571,44.52233446815483,42.78818722227324,3.0,23.076923076923077,4.0,30.76923076923077,42.893564028138975,775.390625,175.78125,0.05597325085630806,0.05809868805165371,78.56652916143996,93.0909090909091,73.14285714285714,4.846830280335357,,,,,,,,,,,
12.0,12000.0,764.3694196428571,43.858301565996186,42.669856247571595,3.0,23.076923076923077,4.0,30.76923076923077,42.67408800383594,773.4375,175.78125,0.05582914086721957,0.05737840949535694,78.75955218345666,93.0909090909091,73.14285714285714,4.7807951171167655,,,,,,,,,,,
13.0,13000.0,765.4854910714286,44.30335768781614,43.14960342864545,3.0,23.076923076923077,5.0,38.46153846153846,43.166339839418995,775.390625,175.78125,0.05639080079623754,0.05787615598802006,78.64982692521654,93.0909090909091,73.14285714285714,4.824137385041986,,,,,,,,,,,
